Date,Adj_Close,Open,High,Low,Vol.,Change %
08/31/2021,2545.2,"2,547.90","2,562.60","2,532.30",,-0.02%
08/30/2021,2545.7,"2,546.00","2,549.90","2,537.20",,0.09%
08/27/2021,2543.5,"2,526.90","2,544.00","2,524.40",,0.56%
08/26/2021,2529.3,"2,538.20","2,546.90","2,525.90",,-0.74%
08/25/2021,2548.2,"2,542.60","2,548.90","2,538.70",,0.12%
08/24/2021,2545.2,"2,555.80","2,557.70","2,531.80",,-0.08%
08/23/2021,2547.2,"2,555.30","2,559.20","2,535.70",,0.51%
08/20/2021,2534.2,"2,532.30","2,536.20","2,513.70",,-0.07%
08/19/2021,2535.9,"2,545.00","2,547.90","2,514.20",,-1.61%
08/18/2021,2577.3,"2,561.90","2,579.70","2,557.70",,0.51%
08/17/2021,2564.1,"2,571.90","2,571.90","2,557.70",,-0.86%
08/16/2021,2586.3,"2,590.50","2,602.20","2,580.70",,-0.80%
08/13/2021,2607.1,"2,597.60","2,609.60","2,596.60",,0.36%
08/12/2021,2597.8,"2,587.80","2,598.80","2,585.10",,0.43%
08/11/2021,2586.6,"2,570.40","2,589.50","2,563.10",,0.99%
08/10/2021,2561.2,"2,556.00","2,570.40","2,555.80",,0.21%
08/09/2021,2555.8,"2,547.70","2,558.20","2,544.00",,0.54%
08/06/2021,2542.1,"2,508.30","2,546.00","2,507.30",,1.33%
08/05/2021,2508.8,"2,495.10","2,509.60","2,491.70",,0.67%
08/04/2021,2492.2,"2,489.70","2,497.60","2,477.50",,0.61%
08/03/2021,2477.2,"2,482.40","2,490.20","2,470.70",,-0.06%
08/02/2021,2478.7,"2,495.60","2,510.80","2,477.50",,-0.05%
07/30/2021,2479.9,"2,489.20","2,493.70","2,477.00",,-0.55%
07/29/2021,2493.7,"2,480.90","2,496.60","2,473.30",,1.01%
07/28/2021,2468.7,"2,454.00","2,472.60","2,448.70",,0.70%
07/27/2021,2451.6,"2,465.00","2,468.20","2,443.20",,-0.79%
07/26/2021,2471.2,"2,448.70","2,471.60","2,439.80",,0.66%
07/23/2021,2455.0,"2,435.40","2,459.40","2,434.00",,1.24%
07/22/2021,2424.9,"2,426.20","2,441.80","2,416.80",,0.58%
07/21/2021,2410.8,"2,371.80","2,411.90","2,367.00",,2.38%
07/20/2021,2354.8,"2,359.40","2,367.90","2,326.80",,0.55%
07/19/2021,2342.0,"2,390.90","2,397.30","2,328.80",,-3.05%
07/16/2021,2415.6,"2,428.10","2,435.20","2,404.20",,-0.26%
07/15/2021,2422.0,"2,440.80","2,445.70","2,418.60",,-1.38%
07/14/2021,2456.0,"2,447.20","2,466.80","2,445.20",,0.20%
07/13/2021,2451.1,"2,466.20","2,466.20","2,443.20",,-0.49%
07/12/2021,2463.1,"2,442.80","2,465.30","2,432.00",,0.90%
07/09/2021,2441.1,"2,411.00","2,443.00","2,410.20",,1.75%
07/08/2021,2399.2,"2,446.90","2,447.70","2,381.70",,-2.55%
07/07/2021,2462.1,"2,468.20","2,477.50","2,451.10",,0.23%
07/06/2021,2456.5,"2,475.60","2,479.20","2,450.60",,-0.89%
