Date,Adj_Close,Open,High,Low,Vol.,Change %
2019-06-13,1532.79,"1,527.15","1,536.49","1,517.40",26.86B,0.29%
2019-06-12,1528.4,"1,534.89","1,542.38","1,525.25",29.57B,-0.64%
2019-06-11,1538.23,"1,485.11","1,538.81","1,485.08",31.65B,3.71%
2019-06-10,1483.23,"1,468.40","1,489.30","1,462.23",20.53B,1.33%
2019-06-06,1463.7,"1,493.39","1,493.39","1,458.47",23.06B,-2.08%
2019-06-05,1494.77,"1,507.04","1,511.28","1,491.71",22.44B,0.04%
2019-06-04,1494.15,"1,514.37","1,515.35","1,485.33",23.89B,-1.43%
2019-06-03,1515.89,"1,535.89","1,543.35","1,510.29",27.35B,-1.04%
2019-05-31,1531.86,"1,532.24","1,546.46","1,525.86",24.88B,-0.01%
2019-05-30,1532.03,"1,537.05","1,537.05","1,514.44",26.42B,-0.62%
2019-05-29,1541.66,"1,533.92","1,552.65","1,531.24",24.80B,0.00%
2019-05-28,1541.65,"1,534.42","1,552.05","1,529.53",27.66B,0.53%
2019-05-27,1533.52,"1,498.30","1,536.63","1,490.71",27.09B,2.51%
2019-05-24,1496.03,"1,497.80","1,513.18","1,491.66",22.87B,-0.49%
2019-05-23,1503.37,"1,534.70","1,534.70","1,499.51",27.90B,-2.43%
2019-05-22,1540.85,"1,546.59","1,555.79","1,530.96",28.20B,-0.51%
2019-05-21,1548.68,"1,521.38","1,552.87","1,516.68",28.75B,1.77%
2019-05-20,1521.72,"1,529.93","1,532.27","1,496.86",27.50B,-0.75%
2019-05-17,1533.22,"1,585.78","1,586.65","1,526.74",34.92B,-3.26%
2019-05-16,1584.81,"1,576.69","1,587.24","1,571.87",31.02B,0.44%
2019-05-15,1577.92,"1,555.40","1,580.82","1,554.65",28.89B,2.32%
2019-05-14,1542.07,"1,533.31","1,557.30","1,532.53",25.86B,-0.62%
2019-05-13,1551.75,"1,550.81","1,563.97","1,543.65",26.85B,-1.08%
2019-05-10,1568.62,"1,528.07","1,568.62","1,499.56",34.67B,3.83%
2019-05-09,1510.72,"1,516.32","1,532.34","1,508.35",24.49B,-1.28%
2019-05-08,1530.31,"1,508.96","1,555.82","1,502.48",28.96B,-0.65%
2019-05-07,1540.31,"1,524.79","1,549.64","1,513.53",29.67B,1.62%
2019-05-06,1515.8,"1,576.77","1,579.64","1,506.32",35.52B,-7.38%
2019-04-30,1636.59,"1,617.73","1,645.90","1,617.73",26.38B,0.67%
2019-04-29,1625.62,"1,665.50","1,668.70","1,622.65",35.66B,-2.41%
2019-04-26,1665.8,"1,678.17","1,691.38","1,665.29",33.98B,-1.33%
2019-04-25,1688.25,"1,740.26","1,745.33","1,687.65",43.01B,-3.41%
2019-04-24,1747.88,"1,733.05","1,747.88","1,713.07",37.07B,1.10%
2019-04-23,1728.86,"1,748.87","1,751.81","1,724.91",40.37B,-1.32%
2019-04-22,1751.91,"1,780.18","1,780.55","1,746.70",43.71B,-1.51%
2019-04-19,1778.81,"1,760.00","1,778.81","1,747.24",40.95B,0.94%
2019-04-18,1762.3,"1,771.89","1,776.63","1,759.45",42.29B,-0.59%
2019-04-17,1772.71,"1,760.31","1,782.48","1,758.11",45.35B,0.72%
2019-04-16,1760.02,"1,713.90","1,760.02","1,701.52",41.18B,2.09%
2019-04-15,1723.91,"1,762.30","1,772.16","1,723.38",40.35B,-0.84%
2019-04-12,1738.52,"1,737.53","1,747.04","1,724.82",37.09B,-0.11%
2019-04-11,1740.37,"1,777.82","1,781.86","1,738.94",44.43B,-2.19%
2019-04-10,1779.28,"1,774.02","1,794.77","1,761.93",47.46B,-0.21%
2019-04-09,1783.01,"1,769.34","1,783.65","1,759.38",44.01B,0.72%
2019-04-08,1770.2,"1,793.91","1,799.10","1,747.33",54.49B,-0.55%
2019-04-04,1780.02,"1,777.23","1,786.19","1,762.64",51.41B,0.45%
2019-04-03,1772.09,"1,748.61","1,773.07","1,742.41",49.11B,0.82%
2019-04-02,1757.6,"1,763.71","1,771.63","1,750.79",55.71B,0.11%
2019-04-01,1755.66,"1,707.05","1,756.11","1,707.05",53.96B,3.57%
2019-03-29,1695.14,"1,640.00","1,695.14","1,635.80",43.55B,3.38%
2019-03-28,1639.72,"1,649.48","1,668.39","1,638.50",36.53B,-0.90%
2019-03-27,1654.69,"1,650.51","1,655.02","1,623.69",37.69B,0.90%
2019-03-26,1639.94,"1,683.75","1,689.13","1,635.85",44.89B,-2.18%
2019-03-25,1676.43,"1,671.62","1,700.40","1,666.39",46.08B,-1.44%
2019-03-22,1700.94,"1,696.91","1,702.49","1,668.24",46.79B,0.20%
2019-03-21,1697.49,"1,685.76","1,708.99","1,680.52",51.59B,0.77%
2019-03-20,1684.57,"1,686.27","1,689.58","1,655.28",45.12B,-0.25%
2019-03-19,1688.76,"1,686.45","1,698.11","1,676.84",43.17B,0.18%
2019-03-18,1685.79,"1,646.94","1,685.79","1,632.75",43.98B,2.71%
2019-03-15,1641.37,"1,628.02","1,655.79","1,623.16",42.24B,1.43%
2019-03-14,1618.26,"1,643.35","1,658.01","1,601.94",48.22B,-2.31%
2019-03-13,1656.54,"1,696.15","1,696.15","1,646.13",61.60B,-2.32%
2019-03-12,1695.81,"1,681.02","1,710.39","1,668.68",66.36B,1.68%
2019-03-11,1667.82,"1,615.67","1,667.82","1,609.91",55.85B,3.90%
2019-03-08,1605.28,"1,630.09","1,673.40","1,605.28",70.95B,-3.79%
